Site_IP,Item Description,L1 Category,Vendor Part Number,Type,Category,UOM,Total Qtts,Discounted unit price,SN,SW Number
10.221.245.129,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,140,4908608,-----------------,-----------------
10.221.245.129,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29171AAAA01,Hardware,MW,1,20,2000,TH2245Q01JP,3DB17010KFAA02
10.221.245.129,Antenna 0.3,"MW links (HW,SW,Services,Passive)",XXXXXXXX,Hardware,MW,3,0.6,2323,XXXXXXXX,
10.221.245.129,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29218ABAF06,Hardware,MW,90,900,900,SH2423N02VF,3DB17010KLAA02
10.221.245.129,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29171AAAA01,Hardware,MW,90,90,90,TH2245Q01HL,3DB17010KFAA02
10.221.245.129,WV MW INDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB18485GAAB01,Hardware,MW,6,6,6,FT2249I0145,--------------
10.221.245.129,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Software,MW,Link,2000,98732198,-----------------,-----------------
10.221.245.129,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Service,MW,Link,8723,897987,-----------------,-----------------
10.221.245.129,Dismantling service,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,2000,2000,-----------------,-----------------

Site_IP,Item Description,L1 Category,Vendor Part Number,Type,Category,UOM,Total Qtts,Discounted unit price,SN,SW Number
10.221.245.3,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,140,4908608,-----------------,-----------------
10.221.245.3,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29181AAAA01,Hardware,MW,1,20,2000,TH2246Q01ZK,3DB17010KFAA02
10.221.245.3,Antenna 0.3,"MW links (HW,SW,Services,Passive)",XXXXXXXX,Hardware,MW,3,0.6,2323,XXXXXXXX,
10.221.245.3,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29181AAAA01,Hardware,MW,90,900,900,TH2246Q01ZH,3DB17010KFAA02
10.221.245.3,WV MW INDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB18485GAAB01,Hardware,MW,6,6,6,BC234592622,--------------
10.221.245.3,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Software,MW,Link,2000,98732198,-----------------,-----------------
10.221.245.3,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Service,MW,Link,8723,897987,-----------------,-----------------
10.221.245.3,Dismantling service,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,2000,2000,-----------------,-----------------
