Site Id,Site Name,Slot Id,Port Id,Status,Company ID,Mnemonic,CLEI Code,Part No,Software Part No,Factory ID,Serial No,Date ID,Manufactured Date,Customer Field,License Points Consumed,Licensed Product,Alarm Status,Aggregated Alarm Status
10.1.224.113,JD2-32,0,0,Available,BC  ,BACK2UV3,CRMTD10ARA,3DB18485GAAB01,--------------,BC  ,BC203690241     ,0,200909,----------------------------------------------,0,None,N/A,N/A
10.1.224.113,JD2-32,3,5,Available,NOK ,UBT-80  ,DRMW810CRA,3DB29171AAAA01,3DB17010KEAA01,TH  ,TH2107Q006U     ,0,210218,                                              ,2,UBT-80,N/A,N/A
10.1.224.113,JD2-32,4,5,Available,NOK ,UBT-80  ,DRMW810CRA,3DB29171AAAA01,3DB17010KEAA01,TH  ,TH2107Q005S     ,0,210218,                                              ,2,UBT-80,N/A,N/A
10.1.224.114,JED0411-11,0,0,Available,BC  ,BACK2UV3,CRMTD10ARA,3DB18485GAAB01,--------------,BC  ,BC203690247     ,0,200909,----------------------------------------------,0,None,N/A,N/A
10.1.224.114,JED0411-11,3,5,Available,NOK ,UBT-80  ,DRMW710CRA,3DB29181AAAA01,3DB17010KEAA01,TH  ,TH2107Q001V     ,0,210222,                                              ,2,UBT-80,N/A,N/A
10.1.224.114,JED0411-11,4,5,Available,NOK ,UBT-80  ,----------,3DB29180AAAB02,3DB17010KCAA01,SH  ,SH1946N01HA     ,0,191125,                                              ,2,UBT-80,N/A,N/A
10.1.224.129,JD2-33,0,0,Available,BC  ,BACK2UV3,CRM8A00ARA,3DB18485EAAA01,--------------,BC  ,BC191891504     ,0,190525,----------------------------------------------,0,None,N/A,N/A
10.1.224.129,JD2-33,3,5,Available,NOK ,UBT-80  ,----------,3DB29170AAAB02,3DB17010KDAA01,TH  ,TH2008Q00YV     ,0,200225,                                              ,2,UBT-80,N/A,N/A
10.1.224.129,JD2-33,4,5,Available,NOK ,UBT-80  ,----------,3DB29170AAAB02,3DB17010KDAA01,TH  ,TH2008Q00ZF     ,0,200219,                                              ,2,UBT-80,N/A,N/A
10.1.224.130,JED0060-1,0,0,Available,VG  ,BACK2UV3,CRM8A00ARA,3DB18485EAAB01,--------------,VG  ,VG192790050     ,0,190705,----------------------------------------------,0,None,N/A,N/A
